Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
05/23/2022 11:56:46 am	0.8000000000	0.050265520000000	0.2748895625	1.5271642361	0.0012000000	0.0065625000	0.0364583333
05/23/2022 11:56:46 am	0.8200000000	0.056548710000000	0.3141595000	1.6362473958	0.0013500000	0.0075000000	0.0390625000
05/23/2022 11:56:46 am	0.8400000000	0.062831900000000	0.3534294375	1.0908315972	0.0015000000	0.0084375000	0.0260416667
05/23/2022 11:56:46 am	0.8600000000	0.070685887500000	0.3665194167	0.2181663194	0.0016875000	0.0087500000	0.0052083333
05/23/2022 11:56:46 am	0.8800000000	0.078539875000000	0.3534294375	-0.2181663194	0.0018750000	0.0084375000	-0.0052083333
05/23/2022 11:56:46 am	0.9000000000	0.084823065000000	0.3403394583	0.2181663194	0.0020250000	0.0081250000	0.0052083333
05/23/2022 11:56:46 am	0.9200000000	0.091106255000000	0.3534294375	1.0908315972	0.0021750000	0.0084375000	0.0260416667
05/23/2022 11:56:46 am	0.9400000000	0.098960242500000	0.3926993750	1.6362473958	0.0023625000	0.0093750000	0.0390625000
05/23/2022 11:56:46 am	0.9600000000	0.106814230000000	0.4319693125	1.5271642361	0.0025500000	0.0103125000	0.0364583333
05/23/2022 11:56:46 am	0.9800000000	0.116239015000000	0.4581492708	0.9817484375	0.0027750000	0.0109375000	0.0234375000
05/23/2022 11:56:47 am	1.0000000000	0.125663800000000	0.4712392500	0.4363326389	0.0030000000	0.0112500000	0.0104166667
05/23/2022 11:56:47 am	1.0200000000	0.135088585000000	0.4712392500	0.1090831597	0.0032250000	0.0112500000	0.0026041667
05/23/2022 11:56:47 am	1.0400000000	0.144513370000000	0.4712392500	-4.1633363423E-15	0.0034500000	0.0112500000	8.6736173799E-17
05/23/2022 11:56:47 am	1.0600000000	0.153938155000000	0.4712392500	0.2181663194	0.0036750000	0.0112500000	0.0052083333
05/23/2022 11:56:47 am	1.0800000000	0.163362940000000	0.4712392500	0.7635821181	0.0039000000	0.0112500000	0.0182291667
05/23/2022 11:56:47 am	1.1000000000	0.172787725000000	0.4974192083	1.4180810764	0.0041250000	0.0118750000	0.0338541667
05/23/2022 11:56:47 am	1.1200000000	0.182212510000000	0.5366891458	1.6362473958	0.0043500000	0.0128125000	0.0390625000
05/23/2022 11:56:47 am	1.1400000000	0.194778890000000	0.5759590833	1.1999147569	0.0046500000	0.0137500000	0.0286458333
05/23/2022 11:56:47 am	1.1600000000	0.205774472500000	0.5890490625	0.5454157986	0.0049125000	0.0140625000	0.0130208333
05/23/2022 11:56:47 am	1.1800000000	0.218340852500000	0.5890490625	0.1090831597	0.0052125000	0.0140625000	0.0026041667
05/23/2022 11:56:47 am	1.2000000000	0.229336435000000	0.5890490625	0.1090831597	0.0054750000	0.0140625000	0.0026041667
05/23/2022 11:56:47 am	1.2200000000	0.241902815000000	0.5890490625	0.4363326389	0.0057750000	0.0140625000	0.0104166667
05/23/2022 11:56:47 am	1.2400000000	0.252898397500000	0.6021390417	0.9817484375	0.0060375000	0.0143750000	0.0234375000
05/23/2022 11:56:47 am	1.2600000000	0.265464777500000	0.6283190000	1.4180810764	0.0063375000	0.0150000000	0.0338541667
05/23/2022 11:56:47 am	1.2800000000	0.278031157500000	0.6675889375	1.4180810764	0.0066375000	0.0159375000	0.0338541667
05/23/2022 11:56:47 am	1.3000000000	0.292168335000000	0.6937688958	0.9817484375	0.0069750000	0.0165625000	0.0234375000
05/23/2022 11:56:47 am	1.3200000000	0.306305512500000	0.7068588750	0.4363326389	0.0073125000	0.0168750000	0.0104166667
05/23/2022 11:56:47 am	1.3400000000	0.320442690000000	0.7068588750	0.1090831597	0.0076500000	0.0168750000	0.0026041667
05/23/2022 11:56:47 am	1.3600000000	0.334579867500000	0.7068588750	0.1090831597	0.0079875000	0.0168750000	0.0026041667
05/23/2022 11:56:47 am	1.3800000000	0.348717045000000	0.7068588750	0.4363326389	0.0083250000	0.0168750000	0.0104166667
05/23/2022 11:56:47 am	1.4000000000	0.362854222500000	0.7199488542	0.9817484375	0.0086625000	0.0171875000	0.0234375000
